TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2015.0,1.0,0.49840761780297776,1.0,0.9912854030501095,0.2890543652696348,1.0,0.86206596932016,1.0,0.48695555812163177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07424432477312834,0.8706003758712854,0.08382626107313051,0.005559240989341105,0.20419797834270664,0.2890543652696348,Apulia
2015.25,1.0,0.4963525920832107,1.0,1.0,0.3053815570523592,1.0,0.8591673341868458,1.0,0.4899323170924202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0737535797612987,0.8721615433202674,0.08263473351638279,0.011934075902256569,0.20093578712751647,0.3053815570523592,Apulia
2015.5,1.0,0.4942373171791199,1.0,1.0,0.3206930823168327,1.0,0.8563918947920444,1.0,0.49280558184847867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07331159822412765,0.8736776681067041,0.08148023819250905,0.01753970974837109,0.19789089653279612,0.3206930823168327,Apulia
2015.75,1.0,0.492066172495359,1.0,1.0,0.33507283762208484,1.0,0.8537437273580917,1.0,0.49558209224572813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07291668141830075,0.8751493094115219,0.08037835882963913,0.02246200098930282,0.1950504241294019,0.33507283762208484,Apulia
2016.0,1.0,0.4898435303281695,1.0,1.0,0.3486497689832748,1.0,0.8512175479175628,1.0,0.498267671443211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07256710871034598,0.8765806190925951,0.07931976777675433,0.02673387488417421,0.19240787726238814,0.3486497689832748,Apulia
2016.25,1.0,0.48762180385938664,1.0,1.0,0.3614699917852741,1.0,0.8488089675010443,1.0,0.4974963031554651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07226115423717337,0.87797383139009,0.07830109235834357,0.0303829329064156,0.18995734897700622,0.3614699917852741,Apulia
2016.5,1.0,0.48551174481995624,1.0,1.0,0.36805162553612303,1.0,0.8465144963103123,1.0,0.49609225355556336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0706325736038982,0.879397296171958,0.0773591223285656,0.033482730899927114,0.18787716827321077,0.36805162553612303,Apulia
2016.75,1.0,0.4835244362138115,1.0,1.0,0.3661063664646939,1.0,0.8442836472431615,1.0,0.49470446890139363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06775312399660328,0.8808586878632422,0.07646850063702502,0.03600510958760795,0.18616524602348866,0.3661063664646939,Apulia
2017.0,1.0,0.48167499802724767,1.0,1.0,0.3640398876018933,1.0,0.8420903671294593,1.0,0.4933322127099923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06368985025776777,0.8823642660887802,0.0756041684547319,0.03793974118676629,0.18481687658908613,0.3640398876018933,Apulia
2017.25,1.0,0.4799820318951449,1.0,1.0,0.36190378661966693,1.0,0.8399434093898857,1.0,0.4919749330991957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05850564083028682,0.8839161574790304,0.07474170405944047,0.03932032260366948,0.18382055372833878,0.36190378661966693,Apulia
2017.5,1.0,0.4784501812362012,1.0,1.0,0.35966685014029487,1.0,0.8378525842833127,1.0,0.49063191304143944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05362026195036335,0.8854554242396158,0.07380878095946107,0.040139030794110984,0.1829808893350525,0.35966685014029487,Apulia
2017.75,1.0,0.477082144490513,1.0,1.0,0.3573697840431232,1.0,0.8358280657471732,1.0,0.48930280162925194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04901779232009045,0.8869834261761639,0.07280782457534687,0.040428544851732584,0.18228878745375024,0.3573697840431232,Apulia
